2022-01-07 16:45:31, 1, 0
2022-01-07 16:50:00, 1, 1
2022-01-07 17:10:00, 1, 2
2022-01-07 17:55:07, 1, 0
2022-01-07 18:00:00, 1, 0
2022-01-07 18:05:00, 1, 0
2022-01-07 18:10:00, 1, 1
2022-01-07 18:15:00, 1, 2
2022-01-07 18:20:00, 1, 1
2022-01-07 18:25:00, 1, 1
2022-01-07 18:30:00, 1, 2
2022-01-07 18:35:00, 1, 2
2022-01-07 18:40:00, 1, 2
2022-01-07 18:45:00, 1, 3
2022-01-07 21:15:00, 1, 2
2022-01-07 21:20:31, 1, 0
2022-01-07 21:30:20, 1, 0
2022-01-07 21:35:52, 1, 0
2022-01-07 22:15:01, 1, 0
2022-01-07 22:20:33, 1, 0
2022-01-07 22:25:52, 1, 0
2022-01-07 22:40:28, 1, 0
2022-01-07 22:45:00, 1, 1
2022-01-07 22:50:00, 1, 0
2022-01-07 23:10:00, 1, 0
2022-01-07 23:20:00, 1, 0
2022-01-07 23:25:00, 1, 0
2022-01-07 23:30:35, 1, 0
2022-01-07 23:35:00, 1, 1
2022-01-07 23:40:00, 1, 0
2022-01-07 23:45:00, 1, 0
